可发现物品,分类 3,分类1,分类2,分类（英文）,可发现物品（英文）,基础热议度,子分类,子分类 (关联）,展品主题,展品简介,所在地图,"所有特性 ",探索地图（汇总）,探索点,探索点溯源,探索点（英文）,热议度上限,特性效果,特性（颜色）,特殊说明,知识
咬咬龙骨架,,,,Dinosaur Bones,Nibbledon Skeleton,,恐龙骨骼,恐龙骨骼 (https://www.notion.so/1df2a3e2f91780c39b44d7d461a46d53?pvs=21),史前,咬咬龙骨架,白骨带,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),白骨带,啃噬之森,啃噬之森 (https://www.notion.so/1b52a3e2f917810ab800e5e92458e256?pvs=21),Gnawn Wood,,,无,,
小食人花,,,,Man-Eating Plants,Chomper Jr.,,食人植物,食人植物 (https://www.notion.so/1df2a3e2f91780bcbdb2cc95fa336617?pvs=21),自然,小食人花,白骨带,生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21),白骨带,食人花丛林,食人花丛林 (https://www.notion.so/1b52a3e2f91781269009df1302bc79af?pvs=21),Chomper Jungle,,健康度降至0%时会死亡/枯萎,生老病死,,
食人花陷阱,,,,Man-Eating Plants,Chomper Pit,,食人植物,食人植物 (https://www.notion.so/1df2a3e2f91780bcbdb2cc95fa336617?pvs=21),自然,食人花陷阱,白骨带,生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21),白骨带,食人花丛林,食人花丛林 (https://www.notion.so/1b52a3e2f91781269009df1302bc79af?pvs=21),Chomper Jungle,,健康度降至0%时会死亡/枯萎,生老病死,,
远古祭台,,,,Prehistory Mysteries,Ancient Anatomic Fabricator,,史前奥秘,史前奥秘 (https://www.notion.so/1df2a3e2f9178011a4afe5d3b11d0ad5?pvs=21),史前,远古祭台,白骨带,"史前奥秘 (https://www.notion.so/1df2a3e2f91780e3a761c336698b3a4c?pvs=21), 宇宙制造 (https://www.notion.so/1df2a3e2f91780c98332f8fbf8392696?pvs=21)",白骨带,原始边境,原始边境 (https://www.notion.so/1b52a3e2f917815984c6c28b19bb58b1?pvs=21),Primal Frontier,,"有来自其他时空或地点的古怪标记,可生成装饰物品","史前奥秘,宇宙制造",,
极光树,,,,Prehistory Mysteries,Aurora Arborealis,,高山植物,高山植物 (https://www.notion.so/1df2a3e2f9178084ba56c0dadadc3119?pvs=21),自然,极光树,白骨带,生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21),白骨带,原始边境,原始边境 (https://www.notion.so/1b52a3e2f917815984c6c28b19bb58b1?pvs=21),Primal Frontier,,健康度降至0%时会死亡/枯萎,生老病死,,
食人花折叠椅,,,,Man-Eating Plants,Folding Chaptrap,,食人植物,食人植物 (https://www.notion.so/1df2a3e2f91780bcbdb2cc95fa336617?pvs=21),自然,食人花折叠椅,白骨带,生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21),白骨带,大脚花园,大脚花园 (https://www.notion.so/1b52a3e2f91781819aa0e785ac7674fb?pvs=21),Bigfoot Gardens,,健康度降至0%时会死亡/枯萎,生老病死,,
洞穴转角壁画,,,,Prehistory Mysteries,Cave Painting Corner,,史前奥秘,史前奥秘 (https://www.notion.so/1df2a3e2f9178011a4afe5d3b11d0ad5?pvs=21),史前,洞穴转角壁画,白骨带,"史前奥秘 (https://www.notion.so/1df2a3e2f91780e3a761c336698b3a4c?pvs=21), 远古广告 (https://www.notion.so/1df2a3e2f91780ffb1bedf5460b6d107?pvs=21)",白骨带,远古遗迹,远古遗迹 (https://www.notion.so/1b52a3e2f917819096d6e384a5f52a3e?pvs=21),Vintage Vestiges,,"有来自其他时空或地点的古怪标记,跨越时空全方位宣传博物馆","史前奥秘,远古广告",,
婆娑树,,,,Tropical Plants,Dancing Tree,,热带植物,热带植物 (https://www.notion.so/1df2a3e2f91780ec8010d59b9622ff97?pvs=21),自然,婆娑树,白骨带,生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21),白骨带,沉寂河流,沉寂河流 (https://www.notion.so/1b52a3e2f91781d4bcdbe69a2c72bc2b?pvs=21),Lethargic River,,健康度降至0%时会死亡/枯萎,生老病死,,
糖浆树,,,,Edible Plants,Syrup Tree,,食用植物,食用植物 (https://www.notion.so/1df2a3e2f91780399a7beecfd222a2b5?pvs=21),自然,糖浆树,白骨带,"糖浆果 (https://www.notion.so/1df2a3e2f91780609106c948c94dd59e?pvs=21), 生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21)",白骨带,白费镇与徒劳镇的交界之地,白费镇与徒劳镇的交接之地 (https://www.notion.so/1b52a3e2f9178189b777f926344f2236?pvs=21),Stop Beaton & Deadhorse,,"增加喝饱度，但减少肠胃舒适度,健康度降至0%时会死亡/枯萎","糖浆果,生老病死",,
左脚印化石,,,,Fossils,Left Footprint Fossil,,化石,化石 (https://www.notion.so/1df2a3e2f91780d3ab54cac19318bbfc?pvs=21),史前,左脚印化石,白骨带,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),白骨带,远古遗迹,远古遗迹 (https://www.notion.so/1b52a3e2f917819096d6e384a5f52a3e?pvs=21),Vintage Vestiges,,,无,,
雪嚎龙骨架,,,,Dinosaur Bones,Snowy Howl Skeleton,,恐龙骨骼,恐龙骨骼 (https://www.notion.so/1df2a3e2f91780c39b44d7d461a46d53?pvs=21),史前,雪嚎龙骨架,白骨带,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),白骨带,冰霜之巅,冰霜之巅 (https://www.notion.so/1b52a3e2f91781468810e1d2477b9037?pvs=21),Frosted Tops,,,无,,
冰冻连眉巨怪,,,,Frozen Finds,Frozen Mondo-Beast,,冰封珍品,冰封珍品 (https://www.notion.so/1df2a3e2f917801c911bdaac4217873b?pvs=21),史前,冰冻连眉巨怪,白骨带,冰封 (https://www.notion.so/1df2a3e2f9178067836bee1ccc48e941?pvs=21),白骨带,冰霜之巅,冰霜之巅 (https://www.notion.so/1b52a3e2f91781468810e1d2477b9037?pvs=21),Frosted Tops,,"维护度降为0%时会发生融化，解冻的展示品只能进行出售
",冰封,,
冰封冰箱,,,,Frozen Finds,Frozen Fridge,,冰封珍品,冰封珍品 (https://www.notion.so/1df2a3e2f917801c911bdaac4217873b?pvs=21),史前,冰封冰箱,"双点海, 白骨带",冰封 (https://www.notion.so/1df2a3e2f9178067836bee1ccc48e941?pvs=21),"白骨带,双点海","寒冷矿洞, 极暗深渊","寒冷矿洞 (https://www.notion.so/1b52a3e2f9178160af50ff601060f717?pvs=21), 极暗深渊 (https://www.notion.so/1c12a3e2f9178047a091d976c132c060?pvs=21)",Cold Mines,,"维护度降为0%时会发生融化，解冻的展示品只能进行出售
",冰封,,
冰封穴居人,,,,Frozen Finds,Frozen Cave-Person,,冰封珍品,冰封珍品 (https://www.notion.so/1df2a3e2f917801c911bdaac4217873b?pvs=21),史前,冰封穴居人,白骨带,冰封 (https://www.notion.so/1df2a3e2f9178067836bee1ccc48e941?pvs=21),白骨带,寒冷矿洞,寒冷矿洞 (https://www.notion.so/1b52a3e2f9178160af50ff601060f717?pvs=21),Cold Mines,,"维护度降为0%时会发生融化，解冻的展示品只能进行出售
",冰封,,
冰封蜂巢,,,,Frozen Finds,Frozen Beehive,,冰封珍品,冰封珍品 (https://www.notion.so/1df2a3e2f917801c911bdaac4217873b?pvs=21),史前,冰封蜂巢,白骨带,冰封 (https://www.notion.so/1df2a3e2f9178067836bee1ccc48e941?pvs=21),白骨带,寒冷矿洞,寒冷矿洞 (https://www.notion.so/1b52a3e2f9178160af50ff601060f717?pvs=21),Cold Mines,,"维护度降为0%时会发生融化，解冻的展示品只能进行出售
",冰封,,
灯笼鱼化石,,,,Fossils,Lantern Fish Fossil,,化石,化石 (https://www.notion.so/1df2a3e2f91780d3ab54cac19318bbfc?pvs=21),史前,灯笼鱼化石,"双点海, 白骨带",无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),"白骨带,双点海","永逝之湖, 湿特兰蒂斯荒野","永逝之湖 (https://www.notion.so/1b52a3e2f917819585a2ccf4d385abcb?pvs=21), 湿特兰蒂斯荒野 (https://www.notion.so/1b52a3e2f91781dc88c6d75bd7205845?pvs=21)",Lake Longloss,,,无,,
多头水龙骨架,,,,Dinosaur Bones,Hydro-Hydrasaurus,,恐龙骨骼,恐龙骨骼 (https://www.notion.so/1df2a3e2f91780c39b44d7d461a46d53?pvs=21),史前,多头水龙骨架,"双点海, 白骨带","无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21), 腹泻的幽默 (https://www.notion.so/1d32a3e2f917808fa76dfe9c83aba966?pvs=21)","白骨带,双点海","永逝之湖, 浸水岩洞","永逝之湖 (https://www.notion.so/1b52a3e2f917819585a2ccf4d385abcb?pvs=21), 浸水岩洞 (https://www.notion.so/1b52a3e2f9178190a74ad68f0c67e2d9?pvs=21)",Lake Longloss,,好笑的惊吓方式，轻微影响肠胃舒适度,"无,腹泻的幽默",,
大型壁虎琥珀,,,,Preserved History,Ambered Giga-Gecko,,封存文物,封存文物 (https://www.notion.so/1df2a3e2f9178024b95ad586f457c998?pvs=21),史前,大型壁虎琥珀,白骨带,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),白骨带,黑糖浆湖,黑糖浆湖 (https://www.notion.so/1b52a3e2f9178120be94dc95b5d6d2a1?pvs=21),Treacle Ponds,,,无,,
琥珀巨蛋,,,,Preserved History,Ambered Egg,,封存文物,封存文物 (https://www.notion.so/1df2a3e2f9178024b95ad586f457c998?pvs=21),史前,琥珀巨蛋,白骨带,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),白骨带,黑糖浆湖,黑糖浆湖 (https://www.notion.so/1b52a3e2f9178120be94dc95b5d6d2a1?pvs=21),Treacle Ponds,,,无,,
蜜封蜂蜜,,,,Preserved History,Honeyed Bee,,封存文物,封存文物 (https://www.notion.so/1df2a3e2f9178024b95ad586f457c998?pvs=21),史前,蜜封蜂蜜,白骨带,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),白骨带,焦油旷野,焦油旷野 (https://www.notion.so/1b52a3e2f917811db7bde0ba902e3f58?pvs=21),Treacle Ponds,,,无,,
原始计算机,,,,Ancient Inventions,Proto-Compute,,古代发明,古代发明 (https://www.notion.so/1df2a3e2f91780e8b7ccee59e68600fc?pvs=21),史前,原始计算机,白骨带,"望而生畏 (https://www.notion.so/1dc2a3e2f91780bf97e1d55267f23538?pvs=21), 有趣 (https://www.notion.so/1dc2a3e2f917806a9e9ad655e3947f18?pvs=21), 令人好奇的 (https://www.notion.so/1dc2a3e2f91780a19e54dee64355e893?pvs=21)",白骨带,白费镇与徒劳镇的交界之地,白费镇与徒劳镇的交接之地 (https://www.notion.so/1b52a3e2f9178189b777f926344f2236?pvs=21),Stop Beaton & Deadhorse,,"可对犯罪行动产生震慑效果,提升访客的娱乐度,提供的知识额外+1","望而生畏,有趣,令人好奇的",,
岩石躺椅,,,,Ancient Inventions,Rock Lounge,,古代发明,古代发明 (https://www.notion.so/1df2a3e2f91780e8b7ccee59e68600fc?pvs=21),史前,岩石躺椅,白骨带,"望而生畏 (https://www.notion.so/1dc2a3e2f91780bf97e1d55267f23538?pvs=21), 有趣 (https://www.notion.so/1dc2a3e2f917806a9e9ad655e3947f18?pvs=21), 令人好奇的 (https://www.notion.so/1dc2a3e2f91780a19e54dee64355e893?pvs=21)",白骨带,白费镇与徒劳镇的交界之地,白费镇与徒劳镇的交接之地 (https://www.notion.so/1b52a3e2f9178189b777f926344f2236?pvs=21),Stop Beaton & Deadhorse,,"可对犯罪行动产生震慑效果,提升访客的娱乐度,提供的知识额外+1","望而生畏,有趣,令人好奇的",,
石制音响,,,,Ancient Inventions,Stone Stereo,,古代发明,古代发明 (https://www.notion.so/1df2a3e2f91780e8b7ccee59e68600fc?pvs=21),史前,石制音响,白骨带,"望而生畏 (https://www.notion.so/1dc2a3e2f91780bf97e1d55267f23538?pvs=21), 有趣 (https://www.notion.so/1dc2a3e2f917806a9e9ad655e3947f18?pvs=21), 令人好奇的 (https://www.notion.so/1dc2a3e2f91780a19e54dee64355e893?pvs=21)",白骨带,白费镇与徒劳镇的交界之地,白费镇与徒劳镇的交接之地 (https://www.notion.so/1b52a3e2f9178189b777f926344f2236?pvs=21),Stop Beaton & Deadhorse,,"可对犯罪行动产生震慑效果,提升访客的娱乐度,提供的知识额外+1","望而生畏,有趣,令人好奇的",,
穴居人,,,,Natural Spirits,Cave Person,,自然灵体,自然灵体 (https://www.notion.so/1df2a3e2f91780148d90fcfba398e12e?pvs=21),超自然,,"冥界, 白骨带","领袖 (https://www.notion.so/1dc2a3e2f9178097b702edec26d2b923?pvs=21), 收藏家 (https://www.notion.so/1dc2a3e2f91780abb2bef9e0142c5a15?pvs=21), 洞穴喜剧人 (https://www.notion.so/1dc2a3e2f917805b9dd1f82dfd5486e7?pvs=21), 治疗师 (https://www.notion.so/1dc2a3e2f9178093a5b1d50412b259b5?pvs=21), 猎人 (https://www.notion.so/1dc2a3e2f917805288d0f7a92ccbdab3?pvs=21)","白骨带,冥界","凋零之路, 迷雾沼泽","凋零之路 (https://www.notion.so/1b52a3e2f9178169964feac6d96a4714?pvs=21), 迷雾沼泽 (https://www.notion.so/1b52a3e2f9178179a5e1f0134df0d6b9?pvs=21)",Withering Way,,"部落首领，每个房间仅可存在一名,非常喜欢家具,提升其他灵体的娱乐度,有几率治疗员工的伤病,有几率为访客提供食物与饮料","领袖,收藏家,洞穴喜剧人,治疗师,猎人",,
宾·西瓦臀,,,,Natural Spirits,Bim Silverbottom,,著名灵体,著名灵体 (https://www.notion.so/1df2a3e2f917804ab12fd821ea52dd40?pvs=21),超自然,宾·西瓦臀,白骨带,"独一无二 (https://www.notion.so/1c32a3e2f91780b1ad73d1f892227b74?pvs=21), 助理 (https://www.notion.so/1df2a3e2f9178074a546d3a72e2401f4?pvs=21)",白骨带,凋零之路,凋零之路 (https://www.notion.so/1b52a3e2f9178169964feac6d96a4714?pvs=21),Withering Way,,"世上仅此一个,提供最佳客户服务","独一无二,助理",,
小丑鱼,,,,Temperate Fish,Clown Fish,,温带鱼类,温带鱼类 (https://www.notion.so/1df2a3e2f9178005a2dff76fb0c79005?pvs=21),海洋,小丑鱼,双点海,"水中痴鱼 (https://www.notion.so/1dc2a3e2f91780ab9a4bf5242877c974?pvs=21), 生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21)",双点海,霍格斯波特半岛,霍格斯波特半岛 (https://www.notion.so/1b52a3e2f91781659924df2ac9bd7d16?pvs=21),Hogsport Peninsula,,"傻乐的鱼儿有什么不好？,健康度降至0%时会死亡/枯萎","水中痴鱼,生老病死",单位1、繁殖率3,
充气鱼,,,,Temperate Fish,Floating Fish,,温带鱼类,温带鱼类 (https://www.notion.so/1df2a3e2f9178005a2dff76fb0c79005?pvs=21),海洋,充气鱼,双点海,"外壳 (https://www.notion.so/1c92a3e2f91780f8b115f4e75ef31c58?pvs=21), 生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21)",双点海,霍格斯波特半岛,霍格斯波特半岛 (https://www.notion.so/1b52a3e2f91781659924df2ac9bd7d16?pvs=21),Hogsport Peninsula,,"通过坚硬或带刺的外壳保护自身不被吃掉,健康度降至0%时会死亡/枯萎","外壳,生老病死",单位1、繁殖率2,
飞鱼,,,,Temperate Fish,Flying Fish,,温带鱼类,温带鱼类 (https://www.notion.so/1df2a3e2f9178005a2dff76fb0c79005?pvs=21),海洋,飞鱼,双点海,"吃货 (https://www.notion.so/1dc2a3e2f917805c92cbfdab959133b2?pvs=21), 生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21)",双点海,霍格斯波特半岛,霍格斯波特半岛 (https://www.notion.so/1b52a3e2f91781659924df2ac9bd7d16?pvs=21),Hogsport Peninsula,,"比预想中吃得更多，提升食物投放器的消耗速度,健康度降至0%时会死亡/枯萎","吃货,生老病死",单位1、繁殖率3,
窥视睡莲,,,,Mountainous Plants,Peek-a-Lily Pads,,高山植物,高山植物 (https://www.notion.so/1df2a3e2f9178084ba56c0dadadc3119?pvs=21),自然,窥视睡莲,双点海,生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21),双点海,佩博里海岸,佩博里海岸 (https://www.notion.so/1b52a3e2f91781c5971ac4aefee55f03?pvs=21),Pebberly Coast,,健康度降至0%时会死亡/枯萎,生老病死,,
浮夸鱼,,,,Tropical Fish,Flambuoyant Fish,,热带鱼类,热带鱼类 (https://www.notion.so/1df2a3e2f9178001bbdad1268c0b2f9f?pvs=21),海洋,浮夸鱼,双点海,"海洋美景 (https://www.notion.so/1c92a3e2f9178009b449de1194a941d9?pvs=21), 生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21)",双点海,佩博里礁,佩博里礁 (https://www.notion.so/1b52a3e2f91781ce94bec1a460c9af0a?pvs=21),Pebberly Reef,,"漂亮的鱼会让人联想到碧波荡漾的大海，从而提升环境值,健康度降至0%时会死亡/枯萎","海洋美景,生老病死",单位1、繁殖率3,
星鱼,,,,Tropical Fish,Star Fish,,热带鱼类,热带鱼类 (https://www.notion.so/1df2a3e2f9178001bbdad1268c0b2f9f?pvs=21),海洋,星鱼,双点海,"自带晚餐 (https://www.notion.so/1c92a3e2f917807c8ec6c9ab1d0db05e?pvs=21), 生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21)",双点海,佩博里礁,佩博里礁 (https://www.notion.so/1b52a3e2f91781ce94bec1a460c9af0a?pvs=21),Pebberly Reef,,"自动觅食，不需要投放器,健康度降至0%时会死亡/枯萎","自带晚餐,生老病死",单位1、繁殖率2,
海马,,,,Temperate Fish,Seahorse,,温带鱼类,温带鱼类 (https://www.notion.so/1df2a3e2f9178005a2dff76fb0c79005?pvs=21),海洋,海马,双点海,"吃货 (https://www.notion.so/1dc2a3e2f917805c92cbfdab959133b2?pvs=21), 生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21)",双点海,海藻林,海藻林 (https://www.notion.so/1b52a3e2f9178111b751e59bfb0a6613?pvs=21),Gulfweed Grove,,"比预想中吃得更多，提升食物投放器的消耗速度,健康度降至0%时会死亡/枯萎","吃货,生老病死",单位1、繁殖率3,
